,AMZN,GME,GOOG,JPM,SPY,XOM
2005-04-12,1.732,1.8474,,21.4852,83.1692,32.6271
2005-04-13,1.715,1.8112,,21.197,82.1883,31.936
2005-04-14,1.699,1.7598,,20.964,81.1163,31.7201
2005-04-15,1.651,1.8188,,20.8046,79.9812,30.3379
2005-04-18,1.65,1.9955,,21.24,80.2264,30.9102
2005-04-19,1.639,2.0283,,21.43,80.864,31.6553
2005-04-20,1.663,1.9711,,21.3135,79.7359,30.8508
2005-04-21,1.687,2.0132,,21.4852,81.2844,32.0062
2005-04-22,1.652,1.9904,,21.381,80.9761,32.0818
2005-04-25,1.677,2.0502,,21.5649,81.5086,32.3734
2005-04-26,1.636,2.0687,,21.5097,80.7169,32.0008
2005-04-27,1.586,2.0595,,21.7673,81.0322,31.5203
2005-04-28,1.626,2.0645,,21.473,80.0162,30.2353
2005-04-29,1.618,2.0712,,21.7611,81.1022,30.7914
2005-05-02,1.655,2.1579,,21.8102,81.5577,31.1748
2005-05-03,1.661,2.1461,,21.7673,81.6978,30.5053
2005-05-04,1.698,2.1167,,22.1352,82.3284,30.8994
2005-05-05,1.698,2.1714,,22.0125,82.3004,31.2072
2005-05-06,1.726,2.1739,,21.8347,82.0411,31.0992
2005-05-09,1.732,2.1672,,22.0493,82.5526,31.3205
2005-05-10,1.711,2.1596,,21.5465,81.6978,30.8994
2005-05-11,1.691,2.1655,,21.6446,82.1462,31.0893
2005-05-12,1.693,2.1714,,21.3565,81.2424,29.7489
2005-05-13,1.695,2.1453,,21.1296,81.0812,29.1412
2005-05-16,1.727,2.1605,,21.3013,81.8379,28.9512
2005-05-17,1.737,2.2051,,21.5895,82.3845,29.228
2005-05-18,1.767,2.2867,,22.1045,83.2323,29.114
2005-05-19,1.78,2.3582,,22.1904,83.5826,29.7544
2005-05-20,1.775,2.3582,,22.1106,83.4635,29.3094
2005-05-23,1.784,2.402,,22.0187,83.9259,29.711
2005-05-24,1.777,2.5038,,22.0064,83.7298,29.8683
2005-05-25,1.763,2.4062,,22.0187,83.6667,30.2156
2005-05-26,1.773,2.4803,,22.0371,84.1151,30.5087
