ReportDate,Barrid,YieldPerc,TotalRiskPerc,SpecRiskPerc,HistBeta,PredBeta,DataDate
2019.01.28,ETF46,1.241528,20.59022,2.795245,1.22542,1.20549,2019.01.28
2019.01.29,ETF50,2.233152,16.53469,1.209482,0.983023,0.988181,2019.01.29
2019.01.29,ETF46,1.248028,21.05349,2.897394,1.226141,1.208168,2019.01.29
2019.01.30,ETF50,2.220998,15.38964,1.41661,0.986735,0.988952,2019.01.30
2019.01.30,ETF46,1.242717,19.81944,3.457287,1.230011,1.21267,2019.01.30
2019.01.31,ETF50,2.089242,14.54722,1.474745,0.986201,0.989522,2019.01.31
2019.01.31,ETF46,1.172459,19.02538,3.520419,1.237637,1.220485,2019.01.31
2019.02.01,ETF50,2.093981,14.27511,1.532481,0.984619,0.988859,2019.02.01
2019.02.01,ETF46,1.179269,18.67679,3.645483,1.233173,1.218835,2019.02.01
2019.02.04,ETF50,2.089922,13.98717,1.439155,0.985799,0.988264,2019.02.04
2019.02.04,ETF46,1.178065,18.20829,3.403228,1.233632,1.216092,2019.02.04
2019.02.05,ETF50,2.086957,13.89364,1.343242,0.986809,0.988272,2019.02.05
2019.02.05,ETF46,1.176397,18.03707,3.149763,1.237449,1.217153,2019.02.05
2019.02.06,ETF50,2.090688,13.74175,1.290449,0.986489,0.987968,2019.02.06
2019.02.06,ETF46,1.187412,17.8137,2.989378,1.23696,1.21586,2019.02.06
2019.02.07,ETF50,2.095831,14.63836,1.285947,0.984158,0.988003,2019.02.07
2019.02.07,ETF46,1.189288,18.89776,2.999503,1.236222,1.215796,2019.02.07
2019.02.08,ETF50,2.099375,14.09323,1.296758,0.983791,0.987676,2019.02.08
2019.02.08,ETF46,1.195083,18.27563,3.010264,1.23584,1.215958,2019.02.08
2019.02.11,ETF50,2.098515,14.35773,1.233488,0.983837,0.987252,2019.02.11
2019.02.11,ETF46,1.19516,18.51058,2.856585,1.235618,1.214204,2019.02.11
2019.02.12,ETF50,2.095573,13.87103,1.205372,0.985139,0.986704,2019.02.12
2019.02.12,ETF46,1.190603,17.91467,2.788299,1.235871,1.212466,2019.02.12
2019.02.13,ETF50,2.097272,14.07468,1.126531,0.985007,0.986766,2019.02.13
2019.02.13,ETF46,1.191827,18.01008,2.595462,1.232537,1.208336,2019.02.13
2019.02.14,ETF50,2.098299,14.58629,1.102258,0.985057,0.986087,2019.02.14
2019.02.14,ETF46,1.19308,18.55746,2.536419,1.232193,1.206115,2019.02.14
2019.02.15,ETF50,2.102679,13.44721,1.118995,0.983856,0.985569,2019.02.15
2019.02.15,ETF46,1.198724,17.20679,2.563677,1.228333,1.20269,2019.02.15
2019.02.19,ETF50,2.104212,13.46188,1.082636,0.983765,0.985221,2019.02.19
2019.02.19,ETF46,1.196132,17.15512,2.47476,1.224534,1.200573,2019.02.19
2019.02.20,ETF50,2.109109,12.75039,1.035204,0.983426,0.985046,2019.02.20
2019.02.20,ETF46,1.202509,16.35244,2.356422,1.223333,1.200794,2019.02.20
2019.02.21,ETF50,2.111249,13.20425,1.02977,0.982297,0.985016,2019.02.21
2019.02.21,ETF46,1.206668,16.85083,2.35565,1.223032,1.201135,2019.02.21
2019.02.22,ETF50,2.10951,12.37989,1.038591,0.983124,0.984489,2019.02.22
2019.02.22,ETF46,1.197355,16.00448,2.363603,1.225421,1.204997,2019.02.22
2019.02.25,ETF50,2.109279,13.66043,1.024846,0.984181,0.984035,2019.02.25
2019.02.25,ETF46,1.197661,17.49579,2.322241,1.227385,1.203971,2019.02.25
2019.02.26,ETF50,2.108229,14.02099,0.988921,0.984187,0.983876,2019.02.26
2019.02.26,ETF46,1.196431,17.85906,2.239768,1.227047,1.20299,2019.02.26
2019.02.27,ETF50,2.109661,13.64327,1.013479,0.984215,0.983458,2019.02.27
2019.02.27,ETF46,1.193048,17.49046,2.310079,1.227706,1.203541,2019.02.27
2019.02.28,ETF50,2.071407,13.78933,1.039509,0.982918,0.983068,2019.02.28
2019.02.28,ETF46,1.173379,17.69053,2.381143,1.226952,1.204748,2019.02.28
2019.03.01,ETF50,2.067126,12.72264,1.055894,0.984025,0.983128,2019.03.01
2019.03.01,ETF46,1.168425,16.48778,2.418447,1.228058,1.206729,2019.03.01
2019.03.04,ETF50,2.067344,13.78241,1.059629,0.984102,0.983054,2019.03.04
2019.03.04,ETF46,1.168498,17.75121,2.431178,1.228895,1.207115,2019.03.04
2019.03.05,ETF50,2.066902,13.92958,1.055107,0.983437,0.982721,2019.03.05
2019.03.05,ETF46,1.164362,17.85675,2.401827,1.226106,1.20553,2019.03.05
2019.03.06,ETF50,2.068996,14.90838,1.031985,0.98164,0.981698,2019.03.06
2019.03.06,ETF46,1.164935,18.95261,2.347392,1.222206,1.201221,2019.03.06
2019.03.07,ETF50,2.074321,15.72527,1.040407,0.979118,0.980515,2019.03.07
2019.03.07,ETF46,1.167684,19.8727,2.37387,1.219697,1.198772,2019.03.07
2019.03.08,ETF50,2.075151,15.21042,1.030418,0.978983,0.980583,2019.03.08
2019.03.08,ETF46,1.168351,19.24191,2.38039,1.22099,1.200553,2019.03.08
2019.03.11,ETF50,2.071708,13.61937,1.040432,0.98052,0.980322,2019.03.11
2019.03.11,ETF46,1.165393,17.39205,2.372576,1.225199,1.204565,2019.03.11
2019.03.12,ETF50,2.07058,13.13151,1.005909,0.98108,0.980453,2019.03.12
2019.03.12,ETF46,1.164562,16.79124,2.275515,1.228608,1.2057,2019.03.12
2019.03.13,ETF50,2.068578,12.84758,0.967842,0.981964,0.980806,2019.03.13
2019.03.13,ETF46,1.163738,16.38566,2.17155,1.229455,1.203221,2019.03.13
2019.03.14,ETF50,2.071312,12.98462,0.952226,0.98173,0.980663,2019.03.14
2019.03.14,ETF46,1.165855,16.51401,2.133203,1.228771,1.2019,2019.03.14
2019.03.15,ETF50,2.039064,12.50738,0.987813,0.986634,0.985196,2019.03.15
2019.03.15,ETF46,1.17343,15.90995,2.253416,1.229307,1.203995,2019.03.15
2019.03.18,ETF50,2.038178,12.78122,0.999849,0.987021,0.984678,2019.03.18
2019.03.18,ETF46,1.170815,16.25056,2.311025,1.231287,1.203471,2019.03.18
2019.03.19,ETF50,2.033436,13.27594,1.039894,0.988774,0.983653,2019.03.19
2019.03.19,ETF46,1.150554,16.91278,2.436869,1.237051,1.207205,2019.03.19
2019.03.20,ETF50,2.029971,13.68475,1.066082,0.990963,0.984322,2019.03.20
2019.03.20,ETF46,1.142073,17.38914,2.472327,1.235795,1.204199,2019.03.20
2019.03.21,ETF50,2.029906,13.48706,1.093699,0.992406,0.984184,2019.03.21
2019.03.21,ETF46,1.149201,17.39453,2.546561,1.249107,1.21633,2019.03.21
2019.03.22,ETF50,2.038005,16.36435,1.134259,0.987521,0.982778,2019.03.22
2019.03.22,ETF46,1.15336,20.86801,2.692978,1.243072,1.213291,2019.03.22
2019.03.25,ETF50,2.036391,16.28569,1.108767,0.986045,0.982355,2019.03.25
2019.03.25,ETF46,1.150782,20.68517,2.609463,1.240373,1.210053,2019.03.25
2019.03.26,ETF50,2.040355,14.7439,1.127241,0.985156,0.982086,2019.03.26
2019.03.26,ETF46,1.152322,18.82405,2.672321,1.23763,1.208883,2019.03.26
2019.03.27,ETF50,2.041467,15.33924,1.103343,0.98442,0.982152,2019.03.27
2019.03.27,ETF46,1.154809,19.53934,2.644366,1.236119,1.209681,2019.03.27
2019.03.28,ETF50,2.040846,14.76805,1.074741,0.985034,0.981655,2019.03.28
