ReportDate,Barrid,YieldPerc,TotalRiskPerc,SpecRiskPerc,HistBeta,PredBeta,DataDate
2018.11.21,DA109942,4.33296,21.62643,8.385068,0.951254,1.084773,2018.11.21
2018.11.22,DA001517,2.428556,21.82797,4.041233,0.902223,1.201539,2018.11.22
2018.11.22,DA109942,4.334895,20.14118,6.086424,0.952333,1.06934,2018.11.22
2018.11.23,DA001517,2.427116,20.53148,3.924286,0.904968,1.212437,2018.11.23
2018.11.23,DA109942,4.333058,18.95955,5.865361,0.953123,1.080084,2018.11.23
2018.11.26,DA001517,2.413971,20.90599,3.929148,0.906055,1.228157,2018.11.26
2018.11.26,DA109942,4.324778,19.34723,6.037186,0.955752,1.094005,2018.11.26
2018.11.27,DA001517,2.417422,20.7249,3.874051,0.907778,1.240194,2018.11.27
2018.11.27,DA109942,4.320643,19.20446,5.896017,0.957131,1.108772,2018.11.27
2018.11.28,DA001517,2.410425,20.44455,3.879749,0.90993,1.23241,2018.11.28
2018.11.28,DA109942,4.31641,19.10798,5.973017,0.95913,1.108904,2018.11.28
2018.11.29,DA001517,2.409687,19.76134,3.861964,0.913726,1.224453,2018.11.29
2018.11.29,DA109942,4.309458,18.57827,6.103113,0.961989,1.102464,2018.11.29
2018.11.30,DA001517,2.383312,19.45832,4.002257,0.91127,1.21034,2018.11.30
2018.11.30,DA109942,4.394655,18.11108,5.356155,0.960101,1.090555,2018.11.30
2018.12.03,DA001517,2.38786,21.22528,4.095603,0.91326,1.250619,2018.12.03
2018.12.03,DA109942,4.37915,19.97349,5.909499,0.971294,1.139136,2018.12.03
2018.12.04,DA001517,2.381982,20.54679,4.016576,0.907425,1.230987,2018.12.04
2018.12.04,DA109942,4.379711,19.44795,6.193132,0.971891,1.121797,2018.12.04
2018.12.05,DA001517,2.379678,20.01129,3.89943,0.903025,1.220424,2018.12.05
2018.12.05,DA109942,4.389549,18.93054,6.169254,0.966836,1.110061,2018.12.05
2018.12.06,DA001517,2.387591,20.82734,3.864316,0.900965,1.235822,2018.12.06
2018.12.06,DA109942,4.40021,19.62033,5.8758,0.963531,1.127861,2018.12.06
2018.12.07,DA001974,3.557458,18.16348,3.377935,1.334522,1.239725,2018.12.07
2018.12.07,DA001517,2.383982,20.50642,3.900284,0.904045,1.214627,2018.12.07
2018.12.07,DA109942,4.401763,19.33129,5.755319,0.971744,1.107904,2018.12.07
2018.12.10,DA001974,3.551963,18.61408,3.305421,1.336222,1.244259,2018.12.10
2018.12.10,DA001517,2.38149,20.9486,3.85127,0.896628,1.216525,2018.12.10
2018.12.10,DA109942,4.403734,19.8026,6.084785,0.977321,1.109805,2018.12.10
2018.12.11,DA001974,3.541612,18.06188,3.212889,1.339986,1.220664,2018.12.11
2018.12.11,DA001517,2.387063,20.28916,3.819906,0.895573,1.191599,2018.12.11
2018.12.11,DA109942,4.397811,19.22479,6.085388,0.977184,1.086372,2018.12.11
2018.12.12,DA001974,3.5399,18.26065,3.185812,1.341423,1.219578,2018.12.12
2018.12.12,DA001517,2.378242,20.47264,3.811715,0.895411,1.188634,2018.12.12
2018.12.12,DA109942,4.386439,19.41216,6.146829,0.9821,1.087925,2018.12.12
2018.12.13,DA001974,3.543232,18.21278,3.061772,1.343274,1.234327,2018.12.13
2018.12.13,DA001517,2.373051,20.38708,3.825729,0.894732,1.199367,2018.12.13
2018.12.13,DA109942,4.389338,18.94455,5.256459,0.981074,1.087354,2018.12.13
2018.12.14,DA001974,3.548758,17.78405,2.972632,1.339695,1.230887,2018.12.14
2018.12.14,DA001517,2.378608,20.07454,3.732385,0.891873,1.20759,2018.12.14
2018.12.14,DA109942,4.392473,18.76856,5.930893,0.980984,1.0895,2018.12.14
2018.12.17,DA001974,3.552263,17.13184,3.054186,1.337289,1.22641,2018.12.17
2018.12.17,DA001517,2.377739,19.33376,3.712309,0.893637,1.203782,2018.12.17
2018.12.17,DA109942,4.393187,18.05526,5.75769,0.981924,1.084376,2018.12.17
2018.12.18,DA001974,3.554128,17.13895,3.043033,1.334404,1.202295,2018.12.18
2018.12.18,DA001517,2.378988,19.23299,3.666847,0.891793,1.17192,2018.12.18
2018.12.18,DA109942,4.394571,18.3145,6.640381,0.981743,1.062501,2018.12.18
2018.12.19,DA001974,3.548648,17.40143,3.126952,1.334902,1.212067,2018.12.19
2018.12.19,DA001517,2.378746,19.60847,3.7194,0.888547,1.182466,2018.12.19
2018.12.19,DA109942,4.392606,18.64003,6.96828,0.978704,1.070122,2018.12.19
